RUN	StarTest.Framework.StarSim	starsim	1624895277267	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624895278710
GROUP	,GetEpisodeOfCare	1624895300533	1624895301407	873	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895300549	1624895301424	OK	 
GROUP	,GetStarUIMemberDetail	1624895300549	1624895301425	875	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895300663	1624895301705	OK	 
GROUP	,GetStarUIMemberList	1624895300662	1624895301706	1042	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895301555	1624895301926	OK	 
GROUP	,GetEpisodeOfCare	1624895301554	1624895301927	371	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895301616	1624895301991	OK	 
GROUP	,GetEpisodeOfCare	1624895301615	1624895301992	375	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895302358	1624895302438	OK	 
GROUP	,ChatTranscript	1624895302357	1624895302438	80	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895302431	1624895302509	OK	 
GROUP	,ChatTranscript	1624895302430	1624895302510	78	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895301872	1624895302738	OK	 
GROUP	,GetStarUIMemberList	1624895301872	1624895302739	866	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895302054	1624895302795	OK	 
GROUP	,GetStarUIMemberDetail	1624895302053	1624895302795	741	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895301925	1624895302970	OK	 
GROUP	,GetStarUIMemberList	1624895301924	1624895302971	1045	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895302349	1624895303064	OK	 
GROUP	,GetEpisodeOfCare	1624895302349	1624895303064	715	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895302710	1624895303379	OK	 
GROUP	,GetStarUIMemberDetail	1624895302710	1624895303380	669	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895302413	1624895303445	OK	 
GROUP	,GetStarUIMemberList	1624895302412	1624895303446	1032	OK
REQUEST	,GetStarNote	GetStarNote	1624895303444	1624895303750	OK	 
GROUP	,GetStarNote	1624895303443	1624895303751	306	OK
REQUEST	,GetStarNote	GetStarNote	1624895303516	1624895303758	OK	 
GROUP	,GetStarNote	1624895303516	1624895303758	242	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895303798	1624895303888	OK	 
GROUP	,ChatTranscript	1624895303797	1624895303889	90	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895302932	1624895303920	OK	 
GROUP	,GetStarUIMemberList	1624895302931	1624895303921	988	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895302997	1624895303937	OK	 
GROUP	,GetStarUIMemberList	1624895302997	1624895303938	940	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895303743	1624895304168	OK	 
GROUP	,GetStarUIMemberDetail	1624895303742	1624895304168	425	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895303973	1624895304395	OK	 
GROUP	,GetStarUIMemberDetail	1624895303973	1624895304395	422	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895304385	1624895304521	OK	 
GROUP	,ChatTranscript	1624895304384	1624895304521	136	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895304069	1624895304830	OK	 
GROUP	,GetStarUIMemberList	1624895304068	1624895304830	761	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895304452	1624895304858	OK	 
GROUP	,GetStarUIMemberDetail	1624895304451	1624895304858	406	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895304762	1624895305355	OK	 
GROUP	,GetEpisodeOfCare	1624895304762	1624895305356	593	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895305173	1624895305358	OK	 
GROUP	,ChatTranscript	1624895305173	1624895305359	185	OK
REQUEST	,GetStarNote	GetStarNote	1624895304895	1624895305358	OK	 
GROUP	,GetStarNote	1624895304894	1624895305359	463	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895304752	1624895305359	OK	 
GROUP	,GetEpisodeOfCare	1624895304752	1624895305359	607	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895305401	1624895305481	OK	 
GROUP	,ChatTranscript	1624895305400	1624895305482	80	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895304939	1624895305488	OK	 
GROUP	,GetStarUIMemberDetail	1624895304938	1624895305488	549	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895304925	1624895305513	OK	 
GROUP	,GetStarUIMemberDetail	1624895304924	1624895305514	588	OK
REQUEST	,GetStarNote	GetStarNote	1624895305525	1624895305678	OK	 
GROUP	,GetStarNote	1624895305525	1624895305678	153	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895305861	1624895305997	OK	 
GROUP	,ChatTranscript	1624895305860	1624895305998	136	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895305834	1624895306207	OK	 
GROUP	,GetStarUIMemberDetail	1624895305833	1624895306208	373	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895306490	1624895306578	OK	 
GROUP	,ChatTranscript	1624895306490	1624895306579	88	OK
REQUEST	,GetStarNote	GetStarNote	1624895306360	1624895306599	OK	 
GROUP	,GetStarNote	1624895306360	1624895306599	239	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895306519	1624895306598	OK	 
GROUP	,ChatTranscript	1624895306518	1624895306599	79	OK
REQUEST	,GetStarNote	GetStarNote	1624895306486	1624895306830	OK	 
GROUP	,GetStarNote	1624895306485	1624895306831	344	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895306360	1624895307057	OK	 
GROUP	,GetEpisodeOfCare	1624895306360	1624895307058	697	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895306683	1624895307243	OK	 
GROUP	,GetEpisodeOfCare	1624895306682	1624895307244	560	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895307213	1624895307291	OK	 
GROUP	,ChatTranscript	1624895307212	1624895307291	78	OK
